"",1960,1965,1970,1971,1972,1973,1974,1975
Engineering,794,2073,3432,3495,3475,3338,3144,2959
Mathematics,291,685,1222,1236,1281,1222,1196,1149
Physics,530,1046,1655,1740,1635,1590,134,1293
Chemistry,1078,1444,2234,2204,2011,1849,1792,1762
Earth Sciences,253,375,511,550,580,577,570,556
Biology,1245,1963,3360,3633,3580,3636,3473,3498
Agriculture,414,576,803,900,855,853,830,904
Psychology,772,954,1888,2116,2262,2444,2587,2749
Sociology,162,239,504,583,638,599,645,680
Economics,341,538,826,791,863,907,833,867
Anthropology,69,82,217,240,260,324,381,385
Others,314,502,1079,1392,1500,1609,1531,1550
