	ALGERIA	ARGENTINA	BRAZIL	CHINA	CZECHOSLOVAKIA	ECUADOR	EGYPT	ETHIOPIA	FINLAND	HONDURAS	INDONESIA	ISRAEL	JAPAN	LIBERIA	MADAGASCAR	NEW_ZEALAND	PAKISTAN	SPAIN	SWITZERLAND	SYRIA	THAILAND	UNITED_KINGDOM	UNITED_STATES	YUGOSLAVIA
ALGERIA	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1
ARGENTINA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
BRAZIL	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
CHINA	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0
CZECHOSLOVAKIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ECUADOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EGYPT	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1
ETHIOPIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FINLAND	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0
HONDURAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INDONESIA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0
ISRAEL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAPAN	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0
LIBERIA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MADAGASCAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEW_ZEALAND	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PAKISTAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SPAIN	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1
SWITZERLAND	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1
SYRIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
THAILAND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
UNITED_KINGDOM	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1
UNITED_STATES	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
YUGOSLAVIA	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0
