"",CurrentStartDate,StartDateNum,Years,Sex,EthnicGrp,RandMailStop,Site,Building,Floor,Secure,HiEd#,DeptID,Admin,Empl Class,Last Date Worked,disc#1,disc#2,disc#3,RSMD Experience,InProjectFile,Rank#,Unit,Mil,Dom%,AC%,NSRD%,PAF%,Crim%,S&T%,Edu%,Health%,L&P%,ICJ%,Enterprise%,REUR%,Degree,Closeness,Betweenness,Eigenvector
A0004,36100,36100,3,1,1,"","","","","",4,5,0,0,"","","","","",1,"",7,0,100,0,0,0,0,0,0,100,0,0,0,0,5.63000011444092,43.4500007629395,0,5.15999984741211
A0007,36347,36347,2,2,"",14,1,1,2,0,0,6,0,0,36798,"","","","",1,"",11,0,100,0,0,0,0,0,0,0,0,0,100,0,1.25,40.3800010681152,0,0.860000014305115
A0010,36220,36220,3,2,1,"","","","","",3,7,0,0,"","","","","",1,"",2,100,0,0,100,0,0,0,0,0,0,0,0,0,3.13000011444092,44.7700004577637,0,2.58999991416931
A0016,30494,30494,18,2,1,111,3,1,"","",3,5,0,1,"",741,740,7,15,1,2,"",60.5999984741211,39.4000015258789,0.300000011920929,37,23.2999992370605,0,39.4000015258789,0,0,0,0,0,0,6.88000011444092,44.7900009155273,0.140000000596046,4.01000022888184
A0022,36395,36395,2,2,1,97,2,1,8,0,3,7,0,1,"",1,1,1,16,1,3,2,99.5,0.5,0,99.5,0,0.200000002980232,0.300000011920929,0,0,0,0,0,0,5.63000011444092,44.3800010681152,0.0500000007450581,4.76000022888184
A0026,36774,36774,1,2,1,88,2,1,7,0,1,7,0,1,"",440,440,5,0,1,0,1,86.8000030517578,13.1999998092651,86.8000030517578,0,0,0,13.1999998092651,0,0,0,0,0,0,6.26000022888184,43.3699989318848,0.0799999982118607,4.80000019073486
A0058,36696,36696,1,1,1,92,2,1,7,0,1,7,0,0,"",440,440,5,0,1,"",3,100,0,0,30.8999996185303,69.0999984741211,0,0,0,0,0,0,0,0,2.71000003814697,41.9000015258789,0.0199999995529652,1.71000003814697
A0064,32678,32678,12,2,1,8,1,1,1,0,3,2,0,0,"",440,440,5,0,1,"",8,0,100,0,0,0,0,0,0,0,100,0,0,0,2.60999989509583,40.0099983215332,0.0199999995529652,1.32000005245209
A0105,31460,31460,16,2,1,27,1,1,2,1,3,6,0,1,"",220,220,3,39,1,3,3,99.9000015258789,0.100000001490116,14.3999996185303,22.2000007629395,63.2999992370605,0,0.100000001490116,0,0,0,0,0,0,7.82000017166138,43.9700012207031,0.109999999403954,4.76000022888184
A0117,29850,29850,20,2,4,7,1,1,1,0,3,5,0,1,"",33,30,1,15,1,1,"",100,0,50,0,50,0,0,0,0,0,0,0,0,1.36000001430511,36.0699996948242,0.00999999977648258,0.529999971389771
A0136,36434,36434,2,2,1,"","","","","",2,3,0,0,"",33,30,1,15,1,"",8,0,100,0,0,0,0,0,0,0,100,0,0,0,2.08550572395325,39.3516616821289,0,1.0784717798233
A0153,32993,32993,11,2,1,36,1,2,2,0,3,4,0,0,"",33,30,1,15,1,"",2,100,0,0,98.4000015258789,1.60000002384186,0,0,0,0,0,0,0,0,2.81543278694153,38.9204559326172,0.00397828500717878,2.08992028236389
A0175,36507,36507,2,1,4,8,1,1,1,0,3,5,0,1,"",31,30,1,2,1,1,1,96,4,79,17,0,0,0,0,4,0,0,0,0,5.83941602706909,46.5533981323242,0.194479182362556,3.15399193763733
A0188,36617,36617,1,1,3,7,1,1,1,0,2,2,0,0,"",31,30,1,2,1,"",1,100,0,100,0,0,0,0,0,0,0,0,0,0,1.45985400676727,37.6078414916992,0.0119904233142734,0.64799028635025
A0219,36759,36759,1,2,1,73,2,1,6,0,3,10,0,1,"",520,520,6,28,1,3,7,8.60000038146973,91.4000015258789,0,8.60000038146973,0,0,0,2.29999995231628,88.4000015258789,0,0.699999988079071,0,0,4.69238805770874,43.7101173400879,0.185273855924606,2.58688354492188
A0259,36495,36495,2,1,1,"","","","","",3,1,0,0,"",11,10,1,0,1,"",7,0,100,0,0,0,0,0,0,100,0,0,0,0,1.45985400676727,35.7835807800293,0,0.553520202636719
A0279,36557,36557,2,1,1,"","","","","",3,7,0,0,"",11,10,1,0,1,"",2,100,0,0,100,0,0,0,0,0,0,0,0,0,0.312825858592987,32.8199844360352,0,0.180979311466217
A0315,32048,32048,14,1,1,46,1,2,1,0,2,5,0,1,"",750,750,7,13,1,0,6,24.2999992370605,75.6999969482422,24.2999992370605,0,0,0,0,58.5,0,0,0,17.2000007629395,0,4.17101144790649,44.2751617431641,0.0857333317399025,2.02343511581421
A0326,35646,35646,4,1,1,46,1,1,2,0,3,1,0,1,36784,750,750,7,13,1,"",7,0,100,0,0,0,0,0,23.7000007629395,74.5999984741211,1.70000004768372,0,0,0,7.09071969985962,43.571102142334,0.12460133433342,4.3733286857605
A0343,36373,36373,2,1,1,"","","","","",3,3,0,0,"",750,750,7,13,1,"",7,0,100,0,0,0,0,0,0,100,0,0,0,0,1.25130343437195,34.2744827270508,-2.47000002113601E-017,0.405441612005234
A0363,36528,36528,2,2,1,68,2,1,5,0,2,7,0,1,"",750,750,7,5,1,0,"",99.0999984741211,0.899999976158142,47,11.5,40.5999984741211,0,0,0,0,0,0,0,0.899999976158142,9.59332656860352,44.0514488220215,0.11789582669735,7.74766063690186
A0400,36556,36556,2,2,3,"","","","","",3,5,0,0,"",750,750,7,5,1,"",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0.417101144790649,33.1146392822266,0,0.206574380397797
A0415,33049,33049,11,1,"",46,1,1,1,0,2,3,0,0,"",750,750,7,5,1,"",8,0,100,0,0,0,0,0,0,0,100,0,0,0,0.417101144790649,29.4442729949951,0,0.027229567989707
A0466,34786,34786,6,2,"",46,1,1,2,1,2,6,0,0,"",750,750,7,5,1,"",3,100,0,0,1.20000004768372,98.8000030517578,0,0,0,0,0,0,0,0,8.75912380218506,44.1935501098633,0.17308109998703,4.84089326858521
A0551,31684,31684,15,1,1,"","","","","",3,7,0,0,"",750,750,7,5,1,"","",21.3999996185303,78.5999984741211,0,21.3999996185303,0,0,45.5999984741211,0,21.3999996185303,0,0,11.6999998092651,0,4.48383712768555,44.708625793457,0.0408800952136517,3.8401095867157
A0731,35702,35702,4,2,"","","","","","",2,7,0,0,"",750,750,7,5,1,"",9,0,100,0,0,0,0,10.1000003814697,0,0,0,89.9000015258789,0,0,1.14702820777893,37.5195617675781,0.00343384896405041,0.536783695220947
A1038,36066,36066,3,1,1,46,1,1,2,0,2,10,0,1,"",530,530,6,2,1,1,"",0,100,0,0,0,0,0,18.3999996185303,39.5999984741211,42,0,0,0,16.162670135498,49.432991027832,0.961628794670105,9.79192924499512
A1295,29018,29018,22,2,1,46,1,1,2,1,3,5,0,1,"",400,400,5,17,1,3,1,100,0,100,0,0,0,0,0,0,0,0,0,0,6.15224170684814,43.4133110046387,0.113402254879475,4.20994520187378
A1600,24624,24624,34,2,1,46,1,1,2,0,3,2,0,1,"",500,500,6,32,1,3,7,0,100,0,0,0,0,0,0,99.9000015258789,0.100000001490116,0,0,0,16.8925971984863,48.6061820983887,1.07315170764923,10.9006195068359
A1955,28191,28191,25,1,1,46,1,1,2,0,2,5,0,0,"",500,500,6,32,1,"",7,0,100,0,0,0,0,0,0,100,0,0,0,0,6.98644399642944,43.8700828552246,0.0593747049570084,5.00067901611328
A2241,35874,35874,3,2,"",46,1,1,1,0,1,6,0,0,36798,500,500,6,32,1,"",2,100,0,0,100,0,0,0,0,0,0,0,0,0,1.56412935256958,41.8047065734863,0,1.53695917129517
A3381,34722,34722,7,2,1,58,2,1,5,0,2,4,0,1,"",31,30,1,11,1,3,2,99.5999984741211,0.400000005960464,0,95.5999984741211,4.09999990463257,0,0.400000005960464,0,0,0,0,0,0,11.9916582107544,48.4098930358887,0.413816869258881,7.95034694671631
A3771,34213,34213,8,2,1,46,1,1,1,1,2,6,0,1,"",240,240,3,7,1,2,3,93.0999984741211,6.90000009536743,0,9.10000038146973,84,0,6.90000009536743,0,0,0,0,0,0,3.85818552970886,40.566837310791,0.0267464388161898,2.04317998886108
A4126,34046,34046,8,2,"",46,1,1,2,0,3,1,0,0,"",240,240,3,7,1,"",7,0,100,0,0,0,0,0,0,100,0,0,0,0,0.417101144790649,35.7169456481934,-2.47000002113601E-017,0.244720429182053
A4542,35431,35431,5,1,"",46,1,1,1,0,3,1,0,0,"",240,240,3,7,1,"",6,0,100,0,0,0,0,0,100,0,0,0,0,0,1.35557878017426,39.1748352050781,0,0.818190693855286
A4802,35555,35555,4,1,1,43,1,1,1,0,3,20,0,1,37043,400,400,5,8,1,2,9,0.200000002980232,99.8000030517578,0,0.200000002980232,0,0,0.200000002980232,9.30000019073486,1.29999995231628,0,88.9000015258789,0.100000001490116,0,6.88216876983643,47.1021614074707,0.165218353271484,4.5477991104126
A5136,35499,35499,5,2,1,68,2,1,5,0,2,7,0,1,"",510,510,6,4,1,1,6,37.5999984741211,62.4000015258789,10.6999998092651,21.8999996185303,5,0,0,61.7000007629395,0,0.600000023841858,0,0,0,14.8070907592773,51.0649642944336,0.985184371471405,10.6812953948975
A5511,35744,35744,4,1,1,46,1,1,2,0,3,1,0,1,"",710,710,7,3,1,2,7,0,100,0,0,0,0.200000002980232,0,9.10000038146973,86.1999969482422,4.40000009536743,0,0,0,8.23774719238281,46.3285026550293,0.169579237699509,6.07370090484619
A5871,35926,35926,3,1,"","","","","","",0,7,0,0,"",710,710,7,3,1,"",5,0,100,0,0,0,0,100,0,0,0,0,0,0,0.312825858592987,31.1768531799316,-2.47000002113601E-017,0.0922369360923767
