,C4,C5,C6,C9,C12,C13,C14,C15,C16,C17,C18,C20,C21,C22,C23,C24,C28,C31,C32,C33,C35,C36,C38,C39,C40,C41,C42,C45,C47,C48,C49,C51,C52,C53,C54,C56,C58,C59,C60,C61,C62,C63,C64,C66,C67,C68,C69,C72,C73,C74,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C87,C88,C89,C90,C91,C92,C93,C94,C96,C98,C99,C100,C101
R4,0,1,15,3,2,20,25,4,3,0,1,0,3,0,3,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,5,0,0,1,0,0,0,0,35,0,0,0,5,0,0,0,0,0,1,0,3
R5,1,0,3,5,5,5,5,5,5,2,2,2,5,0,4,0,0,0,0,1,0,3,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,0,0,0,5,4,0,0,0,4,0,0,0
R6,15,3,0,3,1,5,5,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,3,1,0,0,1,1,1,0,0,5,0,0,0,5,1,1,0,0,1,0,0,2
R9,3,5,3,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,0,2,0,0
R12,2,5,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,4,3,0,0,0,0,0,1,0,0,0,2,0,0
R13,20,5,5,0,0,0,5,3,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,2
R14,25,5,5,3,1,5,0,5,5,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,5,2,1,0,2,0,3,0,0,20,0,0,0,2,1,0,1,0,2,1,0,5
R15,4,5,3,4,0,3,5,0,4,0,0,0,3,0,5,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,3,0,5,0,0,0,0,3,1,0,0,0,0,0,1
R16,3,5,0,0,0,2,5,4,0,0,1,0,1,0,4,0,0,1,1,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
R17,0,2,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,1,0,2,0,1,2,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0
R18,1,2,0,0,0,0,0,0,1,4,0,4,0,0,10,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R20,0,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R21,3,5,0,0,1,3,5,3,1,0,0,0,0,0,6,0,0,5,5,3,10,0,0,0,15,2,0,10,0,1,2,5,0,0,5,2,4,0,1,0,1,5,0,0,0,5,0,0,1,1,0,4,0,5,0,5,0,0,1,3,5,0,0,0,0,0,1,0,0,0,2,1,2
